loss,accuracy,val_loss,val_accuracy
0.5074543081085134,0.73602486,0.5862582064256435,0.7600596
0.25271103464020706,0.9074534,0.29761620138476536,0.8787879
0.1606399196645488,0.9444721,0.49845979290037623,0.8574267
0.12483842320370007,0.9570186,0.39829684757604833,0.89120716
0.08248025323524609,0.9725466,0.31629875102421134,0.9100844
0.0793775734347031,0.9736646,0.34167671900969454,0.92051667
0.05759186621014931,0.98012424,0.43360949334938353,0.90710384
0.050201601259155855,0.98459625,0.665299508033502,0.8976652
0.03508698296522062,0.9885714,0.50010472762671,0.8971684
0.029408993819144247,0.9898137,0.7619776308036795,0.9041232
