loss,accuracy,val_loss,val_accuracy
0.516547598176121,0.7285714,0.3929828932372535,0.8291108
0.19555187956516787,0.92583853,0.25455281819875647,0.8976652
0.13553661426170643,0.9525466,0.19776214295771063,0.92001987
0.09371250481431528,0.9673292,0.2378858371933059,0.9150522
0.07309411169081834,0.973913,0.197534224563619,0.9230005
0.04128889629533457,0.98583853,0.14577555697320438,0.9493294
0.03518686805214004,0.9879503,0.3612544197225716,0.9135618
0.02434018259558549,0.99155277,0.09945626059410775,0.9642325
0.032404230222082844,0.9888199,0.3032174304741003,0.92896175
0.015606344389542648,0.99391305,0.28480060130539464,0.9299553
